word,explanation,example_sentence
vibration,"〈U〉震え,振動 / 〈C〉〈U〉(物理学で)振動 / 〈C〉《複数形で》(またvibes)《話》(人・状況などから受ける)感じ,直感",The earthquake caused a lot of vibration in the area.
viewer,"テレビを視聴者  / 観察者,見物人  / ビューアー(スライド・標本などを拡大して見る装置)",The viewer watched the TV.
vigor/vigour,"(精神的・肉体的な)『力強さ』,精力,活力 / (論旨・文体などの)強さ,迫力",She tackled the project with great vigor.
vigorous,"(人が)『精力的な』,元気な;(行動などが)活気がある,力強い",He is a vigorous athlete who trains every day.
vigorously,"精力的に,元気よく,活発に,力強く",He vigorously pursued his dreams.
villa,(特に南欧の)別荘 / 郊外住宅,I spent my vacation in a beautiful villa in the south of France.
villager,村人,The villager greeted me with a warm smile.
vinegar,"『酢』,食用酢",I like to use vinegar in my salad dressings.
violate,"〈約束・法律・条約など〉‘を'破る,犯す  / 《おもに文》〈静けさなど〉‘を'乱す,妨害する  / 〈神聖なもの〉‘を'汚す  / 《文》《遠回しに》〈女性〉‘に'暴行を加える、強姦する(rape)",He was arrested for violating the law.
virtual reality,"バーチャル・リアリティ(VR), 仮想現実",Virtual reality allows users to experience a simulated world.
virtually,"事実上, 実質的には, おおよそ / 仮想的に",He virtually lives at the office; he’s there from morning until late at night.
virtue,"〈U〉美徳,徳;高潔 / (特に婦人の)節操,貞操 / 〈C〉 (特定の)道徳,美徳 / 〈U/C〉《...という》 長所, 美点 《of ...》 / 《…するという》効力,ききめ《of ...》",1. Honesty is a virtue that should be valued. 2. What do you feel are the virtues of this company?
visibly,"目に見えて;明白に,ありありと",The damage to the car was visibly evident.
vital,生命の / 生き生きとした / 極めて重大な / 命に関わる,Regular exercise is vital for maintaining good health.
vitamin,"ビタミン,栄養素(身体の喜常な機能を維持するために少量ながら必要な有機化合物)",I take a vitamin supplement every morning.
vocalist,(ポピュラーソングの)歌手,She is a talented vocalist.
volunteer,"(…の)志願者,有志《+for+名(doing)》  / 志願兵,義勇兵",They are in need of volunteers.
vomit,"〈U〉吐いた物,嘔吐物 / 〈C〉へどを吐くこと",Get rid of this vomit yourself!
voter,投票者 / 有権者,The voter turnout in the election was higher than expected.
vow,〈C〉誓い,She made a vow to always be there for her best friend.
wage,〈C〉賃金 / (罪などの)報い /,The minimum wage in this country is $15 per hour.
waist,"『腰』,腰部 / (衣服の)『胴部』,ウエスト / (バイオリン・ギターなどの)中央のくびれ",I have a pain in my waist.
waistcoat,チョッキ(=[[vest]]),He wore a stylish waistcoat to the party.
wait,〈C〉待つこと;待ち時間  / 〈U〉待ち伏せ,The wait seemed interminable.
walkabout,〈U〉(オーストラリア原住民の)放浪 / 〈C〉(政府首脳などが)市民の声を聞く視察,I went on a walkabout in the Australian Outback.
walker,歩く人(物) / 歩行器,I saw a walker in the park.
wallboard,壁張り用材,I need to buy some wallboard for the renovation.
walnut,『クルミ』 / クルミの木 / クルミ材,I used a nutcracker to crack open the walnuts.
want,"〈U〉《時に a~》《…の》欠乏,不足《of ...》  / 〈U〉《…の》必要, 入用《of ...》  / 〈U〉困窮,貧困  / 《複数形で》必要なもの,ほしいもの",There is a want of honesty in this society.
warship,軍艦,The warship sailed across the ocean.
wartime,戦時 / 戦時の,"During the wartime, many families were separated due to military service."
wasp,"スズメバチ,ジガバチ / 怒りっぽい人",I saw a wasp in the garden.
water,"『…に水をかける』(まく,やる) / 〈動物〉に水を飲ませる / …に水を供給する;…を潅漑(かんがい)する / 〈液体など〉を水で割る,薄める《down》 / 〈織物・金属など〉に波紋(波模様)をつける / 〈動物などが〉水を飲む;〈船・機関などが〉給水を受ける / 〈目・口などが〉分泌液を出す",I watered the plants in my garden.
waterproof,"防水の,水を通さない","This jacket is waterproof, so you can wear it in the rain."
weaken,"‘を'弱くする  / ‘を'薄くする  / 弱くなる  / <人・人の態度が>軟化する,ぐらつく",Exercise can weaken your immune system if done excessively.
weakly,"弱く,力なく;いくじなく",She exercises weakly.
wealthy,"(人が)富裕な, 裕福な / 豊富に持っている / 《...に》富んだ《in ...》",She comes from a wealthy family.
wearisome,"疲れさせる / うんざりさせる,退屈な",The long and repetitive task was wearisome.
weary,"『疲れた』,疲れはてた / 人を疲れさせる / 『あきあきさせる』,退屈な / 〈人〉を『疲れさせる』 / (…で)〈人〉‘を'『退屈させる』,うんざりさせる《+名〈人〉+with+名(doing)》 / (…に)疲れる,うんざりする《+of+名(doing)》",I felt weary after a long day at work.
weave,織り[方];編み[方],The tapestry on the wall is made of arras weave.
wed,"〈他〉…と結婚する, を妻(夫)にする / 〈自〉結婚する",I am getting wed next month.
weed,"〈C〉『雑草』 / 《the Weed》(巻き)たばこ,葉巻き;マリファナ / 〈C〉(特にひょろ長い)弱々しい人",I need to pull out the weeds in my garden.
welcome,"(出迎えの)あいさつ / 歓迎 / もてなし, もてなし方",Welcome to our hotel!
welfare,"幸福,繁栄  / 福祉[事業],厚生[事業]  / (米政府の)生活保護",He is working for social welfare.
well-balanced,"よく釣り合いのとれた / 分別のある,常識のある",She maintains a well-balanced diet to stay healthy.
well-built,（建物）しっかりした造り、（人）体格のよい,The house is well-built.
well-organized/well-organised,きちんと整った,She gave a well-organized presentation at the conference.
well-paid,高給の,He has a well-paid job.
western,"西の;西へ向かう;(風などが)西からの  / 《しばしば Western》西洋の  / 《しばしば Western》西部の,(特に)米国西部の  / 《通例 Western》(共産圏に対して)西側の  / 西部劇;米国の開拓時代を描いた小説",I love watching western movies.
wheat,〈U〉小麦,Wheat is a staple crop in many countries.
whereas,"...であるのに反して,...なのに対して / 《文》...なるがゆえに","She is very outgoing, whereas her sister is shy."
whichever,どちらか一方,"Whichever wins, I'll be happy."
whip,"〈人・動物〉‘を'『むちで打つ』,‘に'むちを当てる / (人・動物に)…‘を'むち打って教え込む《+名+into+名》;(…から)〈悪癖など〉‘を'むちでやめさせる《+名+out of+名》 / 《方向・状態を表す副詞[句...",The rain whipped against the window.
whiskey/whisky,〈U〉『ウイスキー』 / 〈C〉ウイスキー一杯,I enjoy sipping on a glass of whiskey in the evening.
whisper,"ささやく,ひそひそ話す《+about+名》  / 〈風・流れ・木の葉などが〉サラサラ音を立てる  / …‘を'ささやく,ひそひそと言う  / 《しばしば受動態で》〈秘密など〉‘を'言いふらす《+about+名》",She leaned in close to whisper in his ear.
whistle,〈自〉口笛を吹く / 口笛のような音を出す / 〈弾丸・風などが〉ピューと音を立てて飛ぶ / 〈他〉〈曲など〉を口笛で吹く / …に口笛で合図をする / 〈矢・銃弾など〉をヒューと放つ,He whistled for his dog.
widen,"〈他〉を広くする /（目）を見開く〈自〉《...まで》広くなる,広がる《to》 / 《...などで》（目が）見開かれる《in,with》",The road was widened to accommodate more traffic.
widow,"『未亡人』,寡婦,後家,やもめ / 《複合語を作って》…やもめ,ウイドー(夫が趣味・スポーツなどに夢中なため,しばしば置き去りにされる妻)",She became a widow at a young age.
width,"〈U〉〈C〉(幅の)『広さ』,幅,横 / 〈C〉一定の幅のもの(織物)",The width of the table is 120 centimeters.
wilderness,"〈C〉《the ~》《古》荒れ地,荒野 / 果てしない広がり / 《a ~》多数,無数《の…》《of ...》",The wilderness is a vast and untamed land.
will,"〈U/C〉《しばしばthe ~》(行動を選択する) 意志,意思 / 〈U〉《時にa ~》(身心を抑制する) 意志力 / 〈U/C〉《…する》決意,意図《to do》 / 《one's ~》願い,望み / (人・物などに対して抱く)気持ち, 感情 / 〈C〉(特に正式の)遺言書",I will go to the party tomorrow.
